escola.nome;diretor.data;diretor.questao_1;diretor.questao_2;diretor.questao_3;diretor.questao_4;diretor.questao_5;diretor.questao_6;diretor.questao_7;diretor.questao_8;diretor.questao_9;diretor.questao_10;diretor.questao_11;diretor.questao_12;diretor.questao_13;diretor.questao_14;diretor.questao_15;diretor.questao_16;diretor.questao_17;diretor.questao_18;diretor.questao_19;diretor.questao_20;diretor.questao_21;diretor.questao_22;diretor.questao_23;diretor.questao_24;diretor.questao_25;diretor.questao_26;diretor.questao_27;diretor.questao_28;diretor.questao_29;diretor.questao_30;diretor.questao_31;diretor.questao_32;diretor.questao_33;diretor.questao_34;diretor.questao_35;diretor.questao_36;diretor.questao_37;diretor.questao_38;diretor.questao_39;diretor.questao_40;diretor.questao_41;diretor.questao_42;diretor.questao_43;diretor.questao_44;diretor.questao_45;diretor.questao_46;diretor.questao_47;diretor.questao_48;diretor.questao_49;diretor.questao_50;diretor.questao_51;diretor.questao_52;diretor.questao_53;diretor.questao_54;diretor.questao_55;diretor.questao_56;diretor.questao_57;diretor.questao_58;diretor.questao_59;diretor.questao_60;diretor.questao_61;diretor.questao_62;diretor.questao_63;diretor.questao_64;diretor.questao_65;diretor.questao_66;diretor.questao_67;diretor.questao_68;diretor.questao_69;diretor.questao_70;diretor.questao_71;diretor.questao_72;diretor.questao_73;diretor.questao_74;diretor.questao_75;diretor.questao_76;diretor.questao_77;diretor.questao_78;diretor.questao_79;diretor.questao_80;diretor.questao_81;diretor.questao_82;diretor.questao_83;diretor.questao_84
Escola municipal de T.I. Margarida Gonçalves;;['1'];0;['1'];5;1;0;1;0;1;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;['0', '1', '2', '4'];0;0;['0', '1', '2'];0;['4'];0;0;1;[];0;['8'];1;0;0;0;0;0;0;0;1;4;1;0;0;8;0;8;0;8;0;1;1;;1;;1;1;4;0;1;0;4;0;1;0;1;0;0;1;1;0;0;0;0;0;0
Escola municipal Anne Frank;;['0', '2'];1;['1'];4;1;0;1;1;1;2;0;3;1;0;0;0;1;2;2;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '4', '5'];0;0;['0', '1', '2', '3'];0;['0', '2'];0;2;1;[];0;['0', '2', '4', '5', '6', '7', '8', '9'];1;0;2;0;0;0;0;0;0;4;0;0;0;9;0;9;0;9;0;0;1;;1;;1;1;2;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;;['1'];0;['1'];5;3;0;0;2;0;0;0;2;0;;0;0;1;2;0;0;0;0;0;0;1;0;0;['0', '4'];0;0;['0', '1', '3'];0;['4'];0;0;1;[];1;[];0;0;0;0;0;2;0;0;1;4;0;;;8;1;;;;1;0;1;1;1;;1;1;0;0;1;1;;1;0;1;1;0;0;1;1;1;0;1;1;0;1
Escola municipal Luiz Gonzaga;;['0', '2'];0;['1'];3;1;0;1;0;1;0;0;1;1;0;0;0;1;2;2;1;0;2;2;3;0;0;0;['7'];0;0;['0', '1'];0;['0', '2', '4'];0;2;1;[];0;['0', '2', '4', '5', '6', '7', '8', '9', '10'];0;0;0;0;0;0;0;0;0;4;0;0;0;8;0;8;0;8;0;1;0;1;1;;1;1;2;0;1;1;;1;1;0;1;1;1;1;1;0;0;0;0;0;0
Escola municipal Maria Júlia Amorim Rodrigues;;['0', '2', '3'];1;['1', '3'];4;0;0;0;2;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '4', '5', '6', '7'];0;0;['0', '1', '3'];0;['0', '2', '3', '8', '10'];0;0;0;[];1;[];0;0;0;0;0;0;0;0;0;2;0;1;1;;1;;;;0;0;0;0;1;;1;1;1;0;0;1;;0;0;0;0;0;1;1;1;0;0;0;0;0;1
Escola municipal Antônio Carlos Jobim;;['0', '2', '3'];1;['1', '3'];4;1;0;0;2;0;0;0;0;1;1;0;0;1;2;2;1;0;2;2;0;0;0;0;['0', '1', '2', '3', '4', '5', '6', '7'];1;0;['0', '1', '3'];0;['0', '2', '3', '7', '8', '10'];0;2;1;[];0;['6'];0;0;0;0;0;0;0;0;1;4;1;0;1;7;0;8;0;8;0;0;1;1;1;;1;1;1;0;0;0;5;0;1;0;0;0;0;1;1;0;0;0;0;0;0
Escola municipal Mestre Pacífico S. Campos;;['1'];1;['1'];4;1;0;1;0;1;2;1;0;1;1;0;0;1;2;2;1;1;2;2;3;1;0;0;['0'];1;1;['1'];0;['1'];0;0;0;['9'];1;[];0;0;1;0;0;0;0;0;1;2;1;0;0;9;1;;;;0;0;1;;1;;1;1;3;0;0;0;6;0;0;0;0;1;0;1;1;0;0;0;0;0;0
Escola municipal Antônio G. de Carvalho Filho;;['0', '2'];1;['1'];4;2;0;2;0;0;0;0;1;0;0;0;0;1;2;2;1;0;2;2;0;0;0;0;['0', '1', '2', '3', '4', '5', '6'];0;0;['0', '1', '3'];0;['0', '2', '7', '8'];0;0;0;['1', '3', '9'];1;[];0;0;0;0;0;0;0;0;0;3;0;0;0;4;1;;;;0;0;0;0;1;;1;1;1;0;0;1;;;0;0;0;0;0;1;1;;0;0;0;0;0
Escola municipal Henrique Talone Pinheiro;;['0', '2', '3'];1;['1', '3'];;1;0;2;1;1;2;1;0;1;1;0;0;1;2;2;0;0;2;2;0;0;0;0;['0', '1', '2', '3', '4', '6'];0;0;['0', '1', '2', '3'];0;['0', '2', '3', '7', '8', '10'];0;0;1;[];0;['0', '1', '2', '4', '5', '6', '7', '8'];0;0;2;0;0;0;0;0;0;4;0;0;0;9;1;;1;;0;1;0;1;1;;1;;1;0;0;0;5;0;1;0;0;0;0;1;0;0;0;0;0;0;1
Escola municipal Crispim Pereira de Alencar;;['0', '2'];1;['1'];4;1;0;0;1;0;0;0;;0;0;0;0;1;2;2;1;0;2;2;0;0;0;0;['0', '1', '2', '5', '6'];0;0;['0'];0;['0', '2', '7', '8'];0;0;0;[];0;['8'];1;0;2;0;0;0;0;0;0;4;0;1;1;;;;;;0;0;1;;1;;1;1;1;0;1;0;5;1;1;0;0;0;1;1;1;0;0;0;0;0;1
Escola municipal Darcy Ribeiro;;['0', '2'];;['1'];3;0;0;2;1;1;0;0;2;0;0;0;0;1;2;2;0;0;0;0;3;0;0;0;['1', '2', '4'];1;1;['0'];0;['0', '2'];0;0;0;[];1;[];1;0;0;0;0;0;0;0;0;1;0;0;0;8;0;8;1;;0;0;1;1;1;;1;1;1;0;0;0;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Escola municipal de T.I. João Beltrão;;['1'];0;['1'];3;1;1;2;0;1;0;0;1;1;1;0;0;1;2;2;0;1;2;2;3;1;1;0;['0', '2', '3', '5', '6'];1;0;['0'];0;['0', '2', '4', '6', '7', '8'];0;1;1;[];1;[];0;0;;1;1;1;0;0;0;4;0;0;0;4;0;4;0;1;0;1;1;1;;;;1;1;0;1;1;;;0;0;0;1;1;1;1;0;0;0;0;0;0
Escola municipal de T.I. Monsenhor Pedro P. Piagem;;['0', '2'];0;['1'];4;1;0;0;1;0;2;0;1;1;;0;0;1;2;2;2;0;2;2;0;0;0;0;['0', '2', '4', '7'];0;0;['1', '3'];0;['4', '7', '8'];0;0;1;[];1;[];0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;8;1;;0;1;1;;1;;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
Escola municipal Jorge Amado;;['0', '2', '3'];1;['1', '3'];5;1;0;1;1;0;0;0;1;1;0;0;0;1;2;2;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '5', '6', '7'];0;0;['0', '1', '2', '3'];0;['0', '2', '3', '8', '10'];0;0;1;[];1;[];0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;6;1;;0;0;0;1;1;;1;1;2;0;0;0;;0;1;0;1;0;0;1;1;0;0;0;0;0;0
Escola Municipal de Tempo Integral Marcos Freire;;['0', '2'];0;['0', '1', '3'];3;0;2;2;0;1;2;0;2;1;0;0;0;1;2;2;1;0;2;2;3;0;0;0;['0', '3'];1;0;['1', '3'];0;['0', '2', '3'];0;0;1;[];1;[];0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;;1;;0;1;1;;1;;1;1;0;0;1;1;;1;1;0;0;0;0;1;1;0;0;0;0;0;0
Escola municipal de T.I. Vinícius de Moraes;;['0', '2'];0;['1'];3;1;0;1;1;0;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;['0', '1', '2', '3', '4', '5'];0;0;['0', '1', '2', '3'];0;['4', '8'];0;0;1;[];1;[];1;0;0;0;0;0;0;0;0;4;1;0;0;8;0;8;0;8;0;1;0;1;1;;1;1;0;0;1;0;6;0;1;0;0;0;0;1;1;0;0;0;0;0;1
Escola municipal Maria Rosa de Castro Sales;;['0', '2'];1;['1'];4;1;0;2;1;0;2;0;2;0;0;0;0;1;2;2;0;0;2;2;3;0;0;0;['0', '1', '3', '5', '6'];0;0;['0', '1', '3'];0;['0', '2', '7', '8'];0;0;0;['1', '3', '7', '9'];1;[];0;0;1;0;0;0;0;0;0;4;0;0;0;8;0;8;1;;1;1;1;;1;;1;1;0;0;0;0;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Escola municipal de T.I. Sueli Pereira A. Reche;;['0', '2', '3'];0;['0', '1', '3'];3;1;2;2;0;1;2;0;3;1;1;0;0;1;2;2;0;0;0;2;3;0;0;0;['0', '1', '2', '5'];0;0;['0', '1', '2', '3'];0;['0', '2', '3'];0;0;1;[];0;['0', '6', '7', '8'];0;0;0;1;0;0;0;0;0;4;1;0;0;3;0;8;0;8;0;1;0;1;0;3;0;0;1;0;1;1;;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Escola municipal de T.I. Anisio Spenola Teixeira;;['0', '1', '2'];0;['1'];5;2;0;1;1;1;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '4', '5', '6'];0;0;['0', '1', '2', '3'];0;['4', '7', '8'];0;0;1;[];1;[];0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;;1;;0;0;0;0;0;3;1;1;2;0;0;0;6;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Escola municipal Professor Sávia F. Jacome;;['0', '2'];1;['1'];4;0;0;1;1;0;0;0;2;1;1;2;;;2;2;0;0;2;2;3;0;0;0;['0', '1', '3', '5'];1;1;['0'];0;['0', '2', '7', '8'];0;0;1;[];0;['0', '4', '5', '8'];0;0;1;0;0;0;0;0;0;1;1;0;1;;;;;;;;0;1;1;;1;1;0;0;1;;;;0;0;;0;0;1;0;0;0;0;0;0;0
Escola municipal de T.I. Luiz Nunes de Oliveira;;[];0;['1'];2;1;1;0;1;0;0;0;1;1;1;0;0;1;2;2;0;0;2;2;0;0;0;0;['7'];0;0;['1', '2'];0;['0', '2'];0;0;1;[];1;[];0;0;1;0;0;0;0;0;0;4;0;0;1;;0;6;;;0;0;0;;;3;0;1;1;0;1;1;;0;1;0;0;1;1;1;1;0;1;0;0;0;0
Escola municipal de T.I. Daniel Batista;;['0', '2'];0;['1'];4;1;0;1;0;0;0;0;1;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '5', '6'];0;0;['0', '1', '2', '3'];0;['0', '2', '4', '7', '8'];0;0;1;[];;[];0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;8;0;1;0;0;0;3;1;1;1;0;1;0;6;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Escola municipal de T.I. Euridice F. de Mello;;['0', '1', '2'];0;['1'];5;3;0;0;3;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '5', '6', '7'];1;0;['0', '1', '2', '3'];0;['4'];0;0;1;[];0;['1', '4'];0;0;0;0;0;0;0;0;0;4;0;0;1;;1;;1;;0;0;1;;1;;1;1;1;0;1;0;6;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Escola municipal de T.I. Aprigio T. de Matos;;['1'];0;['1'];3;1;0;2;1;0;2;0;1;0;1;0;0;1;2;2;1;0;0;2;3;0;0;0;['1'];0;1;[];0;['4'];0;0;0;[];1;[];0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;9;1;9;0;0;1;1;1;;1;1;1;0;1;0;4;0;0;1;0;1;1;1;0;0;0;0;0;0;1
Escola municipal de T.I.Almirante Tamandare;;['2'];0;['1'];5;3;0;0;4;0;0;0;3;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;['0', '1', '2', '3', '4'];1;0;['0', '1', '2', '3'];0;['4'];0;0;0;[];0;['1', '2', '4', '5', '6', '7', '8', '9', '10'];0;0;0;0;0;0;0;0;0;;0;0;0;6;0;9;0;9;0;1;0;0;1;;1;1;0;0;0;1;6;1;1;0;0;;0;0;1;0;0;0;0;0;0
Escola municipal Aurélio Buarque de Holanda;;['0', '2', '3'];1;['1', '3'];4;1;0;0;1;0;2;0;;1;1;0;0;1;2;2;0;0;2;;0;0;0;0;['0', '1', '2', '3', '4'];0;0;['0', '1', '2', '3'];0;['0', '2', '3', '7', '8', '10'];0;0;1;['0'];1;[];1;0;0;0;0;0;0;0;0;3;0;0;0;1;1;6;1;6;0;0;1;1;1;;1;1;1;0;0;0;6;0;0;0;0;;0;1;1;0;0;0;0;0;1
Escola municipal Thiago Barbosa;;['0', '2'];1;['1'];5;1;0;2;0;1;2;0;2;1;1;0;0;1;2;2;2;0;1;2;0;0;0;0;['0', '1', '2', '3'];0;0;['0', '1', '2', '3'];0;['0', '2'];0;0;1;[];;[];0;0;0;0;0;0;0;0;0;2;1;1;;;;;;;;;;;;;;;0;0;1;0;;0;1;0;0;0;0;1;1;0;0;0;0;0;
Escola municipal de T.I. Caroline C. C. da Silva;;['0', '2'];0;['1'];5;3;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;['0', '1', '3', '4'];0;0;['0', '1', '2', '3'];0;['4', '7', '8'];0;0;1;[];1;[];0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;8;1;;0;0;0;1;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Escola Municipal Beatriz Rodrigues da Silva-2019;;['0', '2', '3'];1;['1', '3'];5;2;0;2;1;0;0;0;3;0;0;0;0;1;2;2;0;0;2;2;3;0;0;0;['0', '1', '4', '5'];0;0;['0', '2', '3'];0;['0', '2', '3'];0;0;0;['9'];1;[];0;0;0;0;0;0;1;0;1;4;1;0;1;;0;9;1;;0;1;0;1;1;;1;1;0;0;0;0;6;0;1;0;0;1;1;1;1;0;0;0;0;0;1
